"","starts","finishes","minutes","route_short_name"
"1",1276,1272,1,"3"
"2",1272,1232,3,"3"
"3",1232,3604,4,"3"
"4",3604,1292,2,"3"
"5",1292,1289,2,"3"
"6",1289,1332,1,"3"
"7",1332,1251,2,"3"
"8",1251,1078,3,"3"
"9",1078,1084,2,"3"
"11",1084,1080,1,"4"
"12",1080,1086,2,"4"
"13",1086,1248,3,"4"
"14",1248,1330,2,"4"
"15",1330,1288,2,"4"
"16",1288,1635,2,"4"
"17",1635,3605,2,"4"
"18",3605,1317,4,"4"
"19",1317,11605,2,"4"
"20",11605,11607,2,"4"
"21",11607,1267,1,"4"
"22",1267,1421,2,"4"
"23",1421,1423,1,"4"
"24",1423,1425,1,"4"
"25",1425,134145,2,"4"
"26",134145,138213,1,"4"
"27",138213,138215,2,"4"
"29",1148,1145,1,"2"
"30",1145,138223,0,"2"
"31",138223,1154,2,"2"
"32",1154,1157,1,"2"
"33",1157,1185,2,"2"
"34",1185,1183,1,"2"
"35",1183,138369,2,"2"
"36",138369,1218,1,"2"
"37",1218,138367,1,"2"
"38",138367,1235,1,"2"
"39",1235,1624,1,"2"
"40",1624,1221,1,"2"
"41",1221,1225,2,"2"
"42",1225,136268,1,"2"
"43",136268,1294,1,"2"
"44",1294,3605,2,"2"
"45",3605,1317,3,"2"
"46",1317,11605,2,"2"
"47",11605,11607,2,"2"
"48",11607,1267,1,"2"
"49",1267,1421,2,"2"
"50",1421,1423,1,"2"
"51",1423,1425,1,"2"
"52",1425,1411,2,"2"
"53",1411,1408,1,"2"
"55",1405,1432,1,"2"
"56",1432,1428,1,"2"
"57",1428,1424,1,"2"
"58",1424,1422,1,"2"
"59",1422,1419,2,"2"
"60",1419,11608,2,"2"
"61",11608,1264,1,"2"
"62",1264,11606,2,"2"
"63",11606,1316,2,"2"
"64",1316,3604,3,"2"
"65",3604,1304,2,"2"
"66",1304,136269,1,"2"
"67",136269,1226,1,"2"
"68",1226,1222,1,"2"
"69",1222,1234,2,"2"
"70",1234,1220,1,"2"
"71",1220,138368,1,"2"
"72",138368,1219,2,"2"
"73",1219,138370,1,"2"
"74",138370,1184,1,"2"
"75",1184,1186,2,"2"
"76",1186,1158,2,"2"
"77",1158,1156,1,"2"
"78",1156,138222,1,"2"
"79",138222,1146,1,"2"
"80",1146,1148,1,"2"
