"","starts","finishes","minutes","route_short_name"
"1",1084,1080,1,"3"
"2",1080,1086,2,"3"
"3",1086,1248,3,"3"
"4",1248,1330,2,"3"
"5",1330,1288,2,"3"
"6",1288,1635,2,"3"
"7",1635,3605,2,"3"
"8",3605,1233,2,"3"
"9",1233,1277,1,"3"
"10",1277,1276,2,"3"
"12",1084,1080,1,"4"
"13",1080,1086,2,"4"
"14",1086,1248,3,"4"
"15",1248,1330,1,"4"
"16",1330,1288,2,"4"
"17",1288,1635,2,"4"
"18",1635,3605,2,"4"
"19",3605,1317,3,"4"
"20",1317,11605,2,"4"
"21",11605,11607,2,"4"
"22",11607,1267,1,"4"
"23",1267,1421,2,"4"
"24",1421,1423,1,"4"
"25",1423,1425,1,"4"
"26",1425,134145,1,"4"
"27",134145,138213,1,"4"
"28",138213,138215,2,"4"
"30",1405,1432,1,"2"
"31",1432,1428,1,"2"
"32",1428,1424,1,"2"
"33",1424,1422,1,"2"
"34",1422,1419,1,"2"
"35",1419,11608,2,"2"
"36",11608,1264,1,"2"
"37",1264,11606,2,"2"
"38",11606,1316,2,"2"
"39",1316,3604,3,"2"
"40",3604,1304,2,"2"
"41",1304,136269,1,"2"
"42",136269,1226,1,"2"
"43",1226,1222,1,"2"
"44",1222,1234,1,"2"
"45",1234,1220,1,"2"
"46",1220,138368,1,"2"
"47",138368,1219,2,"2"
"48",1219,138370,1,"2"
"49",138370,1184,1,"2"
"50",1184,1186,2,"2"
"51",1186,1158,2,"2"
"52",1158,1156,1,"2"
"53",1156,138222,1,"2"
"54",138222,1146,1,"2"
"55",1146,1148,1,"2"
"57",1248,1330,2,"1"
"58",1330,1288,1,"1"
"59",1288,1635,2,"1"
"60",1635,1304,1,"1"
"61",1304,136269,1,"1"
"62",136269,1226,1,"1"
"63",1226,1226,0,"1"
"64",1226,1222,1,"1"
"65",1222,1234,1,"1"
"66",1234,1220,1,"1"
"67",1220,138368,1,"1"
"68",138368,1219,2,"1"
"69",1219,138370,1,"1"
"70",138370,1184,1,"1"
"71",1184,1186,2,"1"
"72",1186,1158,2,"1"
"73",1158,1156,1,"1"
"74",1156,138222,1,"1"
"75",138222,1146,1,"1"
"76",1146,1148,1,"1"
