"","starts","finishes","minutes","route_short_name"
"1",1084,1080,1,"3"
"2",1080,1086,2,"3"
"3",1086,1248,3,"3"
"4",1248,1330,2,"3"
"5",1330,1288,2,"3"
"6",1288,1635,2,"3"
"7",1635,3605,2,"3"
"8",3605,1233,2,"3"
"9",1233,1277,1,"3"
"10",1277,1276,2,"3"
"12",1084,1080,1,"4"
"13",1080,1086,2,"4"
"14",1086,1248,3,"4"
"15",1248,1330,1,"4"
"16",1330,1288,2,"4"
"17",1288,1635,2,"4"
"18",1635,3605,2,"4"
"19",3605,1317,3,"4"
"20",1317,11605,2,"4"
"21",11605,11607,2,"4"
"22",11607,1267,1,"4"
"23",1267,1421,2,"4"
"24",1421,1423,1,"4"
"25",1423,1425,1,"4"
"26",1425,134145,1,"4"
"27",134145,138213,1,"4"
"28",138213,138215,2,"4"
"30",1405,1432,1,"2"
"31",1432,1428,1,"2"
"32",1428,1424,1,"2"
"33",1424,1422,1,"2"
"34",1422,1419,1,"2"
"35",1419,11608,2,"2"
"36",11608,1264,1,"2"
"37",1264,11606,2,"2"
"38",11606,1316,2,"2"
"39",1316,3604,3,"2"
"40",3604,1304,2,"2"
"41",1304,136269,1,"2"
"42",136269,1226,1,"2"
"43",1226,1222,1,"2"
"44",1222,1234,1,"2"
"45",1234,1220,1,"2"
"46",1220,138368,1,"2"
"47",138368,1219,2,"2"
"48",1219,138370,1,"2"
"49",138370,1184,1,"2"
"50",1184,1186,2,"2"
"51",1186,1158,2,"2"
"52",1158,1156,1,"2"
"53",1156,138222,1,"2"
"54",138222,1146,1,"2"
"55",1146,1148,1,"2"
"57",1248,1330,2,"1"
"58",1330,1288,1,"1"
"59",1288,1635,2,"1"
"60",1635,1304,1,"1"
"61",1304,136269,1,"1"
"62",136269,1226,1,"1"
"63",1226,1226,0,"1"
"64",1226,1222,1,"1"
"65",1222,1234,1,"1"
"66",1234,1220,1,"1"
"67",1220,138368,1,"1"
"68",138368,1219,2,"1"
"69",1219,138370,1,"1"
"70",138370,1184,1,"1"
"71",1184,1186,2,"1"
"72",1186,1158,2,"1"
"73",1158,1156,1,"1"
"74",1156,138222,1,"1"
"75",138222,1146,1,"1"
"76",1146,1148,1,"1"
"110",1276,1272,1,"3"
"210",1272,1232,3,"3"
"310",1232,3604,4,"3"
"410",3604,1292,2,"3"
"510",1292,1289,2,"3"
"610",1289,1332,1,"3"
"77",1332,1251,2,"3"
"81",1251,1078,3,"3"
"91",1078,1084,2,"3"
"11",138215,138214,1,"4"
"121",138214,134146,2,"4"
"131",134146,1424,1,"4"
"141",1424,1422,1,"4"
"151",1422,1419,1,"4"
"161",1419,11608,2,"4"
"171",11608,1264,1,"4"
"181",1264,11606,2,"4"
"191",11606,1316,2,"4"
"201",1316,3604,3,"4"
"211",3604,1292,2,"4"
"221",1292,1289,2,"4"
"231",1289,1332,1,"4"
"241",1332,1251,2,"4"
"251",1251,1078,3,"4"
"261",1078,1084,2,"4"
"281",1148,1145,1,"2"
"29",1145,138223,0,"2"
"301",138223,1154,2,"2"
"311",1154,1157,1,"2"
"321",1157,1185,2,"2"
"331",1185,1183,1,"2"
"341",1183,138369,2,"2"
"351",138369,1218,1,"2"
"361",1218,138367,1,"2"
"371",138367,1235,1,"2"
"381",1235,1624,1,"2"
"391",1624,1221,1,"2"
"401",1221,1225,2,"2"
"411",1225,136268,1,"2"
"421",136268,1294,1,"2"
"431",1294,3605,2,"2"
"441",3605,1317,3,"2"
"451",1317,11605,2,"2"
"461",11605,11607,2,"2"
"471",11607,1267,1,"2"
"481",1267,1421,2,"2"
"491",1421,1423,1,"2"
"501",1423,1425,1,"2"
"511",1425,1411,2,"2"
"521",1411,1408,1,"2"
"541",1148,1145,1,"1"
"551",1145,138223,0,"1"
"56",138223,1154,2,"1"
"571",1154,1157,1,"1"
"581",1157,1185,2,"1"
"591",1185,1183,1,"1"
"601",1183,138369,2,"1"
"611",138369,1218,1,"1"
"621",1218,138367,2,"1"
"631",138367,1235,1,"1"
"641",1235,1624,1,"1"
"651",1624,1221,1,"1"
"661",1221,1225,2,"1"
"671",1225,136268,1,"1"
"681",136268,1294,1,"1"
"691",1294,3605,2,"1"
"701",3605,1233,3,"1"
"711",1233,1277,1,"1"
"721",1277,1276,2,"1"
